English,German,Polish
you,Sie,ty
I or I.,Ich oder ich.,I lub I.
to,zu,do
the,das,.
a or A.,a oder A.,A lub A.
and,und,oraz
that,das,że
it,es,to
of,von,z
me,mich,ja
what,was,Co
is,ist,jest
in,in,w
this,Dies,ten
know,kennt,wiedzieć
I'm,Ich bin,Jestem
for,zum,dla
no,nein,nie
have,haben,mieć
my,mein,mój
don't,nicht,nie
just,nur,tylko
not,nicht,nie
do,tun,robić
be,sein,być
on,an,na 
your,dein,twój
was,war,był
we,wir,my
it's,es ist,jego
with,mit,z
so,Also,więc
but,aber,ale
all,alle,wszystko
well,Gut,dobrze
are,sind,są
he,er,on
oh,oh,oh
about,um,o
right,Rechts,prawo
you're,du bist,Jesteś
get,erhalten,Dostawać
here,hier,tutaj
out,aus,na zewnątrz
going,gehen,pójście
like,wie,tak jak
yeah,ja,tak
if,wenn,jeśli
her,Sie,ją
she,sie,Ona
can,kann,Móc
up,hoch,w górę
want,wollen,chcieć
think,denken,myśleć
that's,das ist,to jest
now,jetzt,Teraz
go,gehen,iść
him,ihn,jego
at,bei,w
how,wie,Jak
got,habe,dostał
there,dort,tam
one,eines,jeden
did,tat,zrobił
why,warum,czemu
see,sehen,Widzieć
come,Kommen Sie,chodź
good,gut,Dobry
they,sie,one
really,Ja wirklich,naprawdę
as,wie,jak
would,möchten,zrobiłbym
look,sehen,wyglądać
when,Wenn,gdy
time,Zeit,czas
will,Wille,będzie
okay,okay,w porządku
back,der Rücken,plecy
can't,kippen,żargon
mean,bedeuten,oznaczać
tell,erzählen,powiedzieć
I'll,Krank,Chory
from,aus,z
hey,Hey,Siema
were,war,byli
he's,er ist,On jest
could,könnte,mógłby
didn't,nicht,nie
yes,Jawohl,tak
his,seine,jego
been,gewesen,został
or,oder,lub
something,etwas,coś
who,wer,kto
because,Weil,dlatego
some,etwas,niektóre
had,hatte,miał
then,dann,następnie
say,sagen,mówić
ok,OK,ok
take,nehmen,Brać
an,ein,jakiś
way,Weg,droga
us,uns,nas
little,wenig,mały
make,machen,robić
need,brauchen,potrzebować
gonna,wird,zamierzać
never,noch nie,nigdy
we're,war,byli
too,zu,także
love,Liebe,kocham
she's,sie ist,Ona jest
I've,Ich habe,Ja
sure,sicher,Jasne
them,Sie,ich
more,mehr,jeszcze
over,Über,koniec
our,unser,nasz
sorry,Verzeihung,przepraszam
where,wo,gdzie
what's,Was ist,Co jest
let,Lassen,wynajmować
thing,Ding,rzecz
am,bin,jestem  
maybe,kann sein,być może
down,Nieder,na dół
man,Mann,facet
has,hat,ma
uh,äh,Uh
very,sehr,bardzo
by,durch,za pomocą
there's,Es gibt,jest
should,sollte,powinien
anything,irgendetwas,byle co
said,sagte,powiedział
much,viel,dużo
any,irgendein,każdy
life,Leben,życie
even,eben,nawet
off,aus,wyłączony
please,bitte,Proszę
doing,tun,czyn
thank,danken,dziękować
give,geben,dawać
only,nur,tylko
thought,Gedanke,myśl
help,Hilfe,Wsparcie
two,zwei,dwa
talk,sich unterhalten,rozmowa
people,Personen,ludzie
god,Gott,bóg
still,still,nadal
wait,Warten,czekać
into,hinein,w
find,finden,odnaleźć
nothing,nichts,nic
again,wieder,ponownie
things,Dinge,rzeczy
let's,Lasst uns,Let
doesn't,nicht,nie
call,Anruf,połączenie
told,gesagt,powiedział
great,Großartig,Świetnie
before,Vor,zanim
